ID,Species,Factor,Cell Type,Tissue Type,Paper Reference,Paper PMID
GSM2394395,Homo sapiens,ATAC-seq,Endothelial Cell,,"Hogan NT, et al. Transcriptional networks specifying homeostatic and inflammatory programs of gene expression in human aortic endothelial cells. Elife ",28585919.0
GSM2394396,Homo sapiens,ATAC-seq,Endothelial Cell,,"Hogan NT, et al. Transcriptional networks specifying homeostatic and inflammatory programs of gene expression in human aortic endothelial cells. Elife ",28585919.0
GSM2411156,Homo sapiens,ATAC-seq,T Lymphocyte,Blood,"Brignall R, et al. Integration of Kinase and Calcium Signaling at the Level of Chromatin Underlies Inducible Gene Activation in T Cells. J. Immunol. ",28904128.0
GSM2411161,Homo sapiens,ATAC-seq,T Lymphocyte,Blood,"Brignall R, et al. Integration of Kinase and Calcium Signaling at the Level of Chromatin Underlies Inducible Gene Activation in T Cells. J. Immunol. ",28904128.0
GSM2411162,Homo sapiens,ATAC-seq,T Lymphocyte,Blood,"Brignall R, et al. Integration of Kinase and Calcium Signaling at the Level of Chromatin Underlies Inducible Gene Activation in T Cells. J. Immunol. ",28904128.0
GSM2411163,Homo sapiens,ATAC-seq,T Lymphocyte,Blood,"Brignall R, et al. Integration of Kinase and Calcium Signaling at the Level of Chromatin Underlies Inducible Gene Activation in T Cells. J. Immunol. ",28904128.0
GSM2411164,Homo sapiens,ATAC-seq,T Lymphocyte,Blood,"Brignall R, et al. Integration of Kinase and Calcium Signaling at the Level of Chromatin Underlies Inducible Gene Activation in T Cells. J. Immunol. ",28904128.0
GSM2411165,Homo sapiens,ATAC-seq,T Lymphocyte,Blood,"Brignall R, et al. Integration of Kinase and Calcium Signaling at the Level of Chromatin Underlies Inducible Gene Activation in T Cells. J. Immunol. ",28904128.0
GSM2411166,Homo sapiens,ATAC-seq,T Lymphocyte,Blood,"Brignall R, et al. Integration of Kinase and Calcium Signaling at the Level of Chromatin Underlies Inducible Gene Activation in T Cells. J. Immunol. ",28904128.0
GSM2411167,Homo sapiens,ATAC-seq,T Lymphocyte,Blood,"Brignall R, et al. Integration of Kinase and Calcium Signaling at the Level of Chromatin Underlies Inducible Gene Activation in T Cells. J. Immunol. ",28904128.0
