cell_line__name,factor__name,is_correcting,strain__name,cell_pop__name,paper__reference,cell_type__name,paper__pmid,paper__journal__name,name,disease_state__name,link,unique_id,species__name,tissue_type__name,paper__lab
THP-1,ATAC-seq,False,,,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",Macrophage,28890333.0,Mol. Cell,ATAC-SEQ_MACROPHAGE2,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2544231,GSM2544231,Homo sapiens,,Snyder MP
THP-1,ATAC-seq,False,,,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",Macrophage,28890333.0,Mol. Cell,ATAC-SEQ_MACROPHAGE1D,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2544230,GSM2544230,Homo sapiens,,Snyder MP
THP-1,ATAC-seq,False,,,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",Monocyte,28890333.0,Mol. Cell,ATAC-SEQ_MONOCYTE2D,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2544229,GSM2544229,Homo sapiens,,Snyder MP
THP-1,ATAC-seq,False,,,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",Macrophage,28890333.0,Mol. Cell,ATAC-SEQ_MACROPHAGE2C,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2544227,GSM2544227,Homo sapiens,,Snyder MP
THP-1,ATAC-seq,False,,,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",Macrophage,28890333.0,Mol. Cell,ATAC-SEQ_MACROPHAGE1B,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2544222,GSM2544222,Homo sapiens,,Snyder MP
THP-1,ATAC-seq,False,,,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",Macrophage,28890333.0,Mol. Cell,ATAC-SEQ_MACROPHAGE2A,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2544219,GSM2544219,Homo sapiens,,Snyder MP
THP-1,ATAC-seq,False,,,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",Macrophage,28890333.0,Mol. Cell,ATAC-SEQ_MACROPHAGE1A,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2544218,GSM2544218,Homo sapiens,,Snyder MP
THP-1,ATAC-seq,False,,,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",Monocyte,28890333.0,Mol. Cell,ATAC-SEQ_MONOCYTE2A,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2544217,GSM2544217,Homo sapiens,,Snyder MP
Jurkat,ATAC-seq,False,,,"Brignall R, et al. Integration of Kinase and Calcium Signaling at the Level of Chromatin Underlies Inducible Gene Activation in T Cells. J. Immunol. ",T Lymphocyte,28904128.0,J. Immunol.,IONO R3 ATAC-SEQ,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2411164,GSM2411164,Homo sapiens,Blood,Paszek P
Jurkat,ATAC-seq,False,R1,,"Brignall R, et al. Integration of Kinase and Calcium Signaling at the Level of Chromatin Underlies Inducible Gene Activation in T Cells. J. Immunol. ",T Lymphocyte,28904128.0,J. Immunol.,PMA/IONO R1 ATAC-SEQ,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2411165,GSM2411165,Homo sapiens,Blood,Paszek P
