ID,Species,Factor,Cell Type,Paper Reference,PMID
GSM2544227,Homo sapiens,ATAC,macrophage,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",28890333
GSM2544222,Homo sapiens,ATAC,macrophage,"Phanstiel DH, et al. Static and Dynamic DNA Loops form AP-1-Bound Activation Hubs during Macrophage Development. Mol. Cell ",28890333
GSM2695562,Homo sapiens,ATAC,K562,"Liu X, et al. In Situ Capture of Chromatin Interactions by Biotinylated dCas9. Cell ",28841410
GSM2695561,Homo sapiens,ATAC,K562,"Liu X, et al. In Situ Capture of Chromatin Interactions by Biotinylated dCas9. Cell ",28841410
GSM2679879,Homo sapiens,ATAC,macrophage,"Park SH, et al. Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation. Nat. Immunol. ",28825701
GSM2679876,Homo sapiens,ATAC,macrophage,"Park SH, et al. Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation. Nat. Immunol. ",28825701
GSM2679870,Homo sapiens,ATAC,macrophage,"Park SH, et al. Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation. Nat. Immunol. ",28825701
GSM2371314,Homo sapiens,ATAC,megakaryocyte,,0
GSM2371311,Homo sapiens,ATAC,megakaryocyte,,0
GSM2679897,Homo sapiens,ATAC,macrophage,"Park SH, et al. Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation. Nat. Immunol. ",28825701
GSM2679891,Homo sapiens,ATAC,macrophage,"Park SH, et al. Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation. Nat. Immunol. ",28825701
GSM2679887,Homo sapiens,ATAC,macrophage,"Park SH, et al. Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation. Nat. Immunol. ",28825701
GSM2679885,Homo sapiens,ATAC,macrophage,"Park SH, et al. Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation. Nat. Immunol. ",28825701
GSM2679889,Homo sapiens,ATAC,macrophage,"Park SH, et al. Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation. Nat. Immunol. ",28825701
GSM2679867,Homo sapiens,ATAC,macrophage,"Park SH, et al. Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation. Nat. Immunol. ",28825701
GSM2371313,Homo sapiens,ATAC,megakaryocyte,,0
GSM2702716,Homo sapiens,ATAC,B_cell,"Jiang S, et al. The Epstein-Barr Virus Regulome in Lymphoblastoid Cells. Cell Host Microbe ",29024646
GSM2702713,Homo sapiens,ATAC,B_cell,"Jiang S, et al. The Epstein-Barr Virus Regulome in Lymphoblastoid Cells. Cell Host Microbe ",29024646
GSM2714170,Homo sapiens,ATAC,skin_fibroblast,"Hennig T, et al. HSV-1-induced disruption of transcription termination resembles a cellular stress response but selectively increases chromatin accessibility downstream of genes. PLoS Pathog. ",29579120
GSM3452726,Homo sapiens,ATAC,K562,,0
GSM3331038,Homo sapiens,ATAC,adipocyte,"Divoux A, et al. Differential open chromatin profile and transcriptomic signature define depot-specific human subcutaneous preadipocytes: primary outcomes. Clin Epigenetics ",30477572
GSM3331039,Homo sapiens,ATAC,adipocyte,"Divoux A, et al. Differential open chromatin profile and transcriptomic signature define depot-specific human subcutaneous preadipocytes: primary outcomes. Clin Epigenetics ",30477572
