ID,Species,Factor,Cell Type,Tissue Type,Paper Reference,PMID
GSM315956,Homo sapiens,H3K4me3,CD8_T_cell,Blood,"Araki Y, et al. Genome-wide analysis of histone methylation reveals chromatin state-based regulation of gene transcription and function of memory CD8+ T cells. Immunity 2009",19523850
GSM327662,Homo sapiens,H3K4me3,embryonic_stem_cell,Embryo,"Ku M, et al. Genomewide analysis of PRC1 and PRC2 occupancy identifies two classes of bivalent domains. PLoS Genet. 2008",18974828
GSM353653,Homo sapiens,H3K4me3,prostate_epithelium,Prostate,"Yu J, et al. An integrated network of androgen receptor, polycomb, and TMPRSS2-ERG gene fusions in prostate cancer progression. Cancer Cell 2010",20478527
GSM418300,Homo sapiens,H3K4me3,cervix_epithelium,Cervix,"Wang Z, et al. Genome-wide mapping of HATs and HDACs reveals distinct functions in active and inactive genes. Cell 2009",19698979
GSM432392,Homo sapiens,H3K4me3,embryonic_stem_cell,Embryo,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM501713,Homo sapiens,H3K4me3,cervix_epithelium,Cervix,"Barski A, et al. Pol II and its associated epigenetic marks are present at Pol III-transcribed noncoding RNA genes. Nat. Struct. Mol. Biol. 2010",20418881
GSM503906,Homo sapiens,H3K4me3,prostate_epithelium,Prostate,"He HH, et al. Nucleosome dynamics define transcriptional enhancers. Nat. Genet. 2010",20208536
GSM503907,Homo sapiens,H3K4me3,prostate_epithelium,Prostate,"He HH, et al. Nucleosome dynamics define transcriptional enhancers. Nat. Genet. 2010",20208536
GSM529408,Homo sapiens,H3K4me3,embryonic_stem_cell,Embryo,"Lengner CJ, et al. Derivation of pre-X inactivation human embryonic stem cells under physiological oxygen concentrations. Cell 2010",20471072
GSM529412,Homo sapiens,H3K4me3,embryonic_stem_cell,Embryo,"Lengner CJ, et al. Derivation of pre-X inactivation human embryonic stem cells under physiological oxygen concentrations. Cell 2010",20471072
GSM529413,Homo sapiens,H3K4me3,embryonic_stem_cell,Embryo,"Lengner CJ, et al. Derivation of pre-X inactivation human embryonic stem cells under physiological oxygen concentrations. Cell 2010",20471072
GSM529959,Homo sapiens,H3K4me3,central_nervous_system_neuron,Prefrontal,"Cheung I, et al. Developmental regulation and individual differences of neuronal H3K4me3 epigenomes in the prefrontal cortex. Proc. Natl. Acad. Sci. U.S.A. 2010",20421462
GSM529960,Homo sapiens,H3K4me3,central_nervous_system_neuron,Prefrontal,"Cheung I, et al. Developmental regulation and individual differences of neuronal H3K4me3 epigenomes in the prefrontal cortex. Proc. Natl. Acad. Sci. U.S.A. 2010",20421462
GSM529961,Homo sapiens,H3K4me3,central_nervous_system_neuron,Prefrontal,"Cheung I, et al. Developmental regulation and individual differences of neuronal H3K4me3 epigenomes in the prefrontal cortex. Proc. Natl. Acad. Sci. U.S.A. 2010",20421462
GSM529964,Homo sapiens,H3K4me3,central_nervous_system_neuron,Prefrontal,"Cheung I, et al. Developmental regulation and individual differences of neuronal H3K4me3 epigenomes in the prefrontal cortex. Proc. Natl. Acad. Sci. U.S.A. 2010",20421462
GSM529965,Homo sapiens,H3K4me3,central_nervous_system_neuron,Prefrontal,"Cheung I, et al. Developmental regulation and individual differences of neuronal H3K4me3 epigenomes in the prefrontal cortex. Proc. Natl. Acad. Sci. U.S.A. 2010",20421462
GSM529968,Homo sapiens,H3K4me3,central_nervous_system_neuron,Prefrontal,"Cheung I, et al. Developmental regulation and individual differences of neuronal H3K4me3 epigenomes in the prefrontal cortex. Proc. Natl. Acad. Sci. U.S.A. 2010",20421462
GSM529970,Homo sapiens,H3K4me3,central_nervous_system_neuron,Prefrontal,"Cheung I, et al. Developmental regulation and individual differences of neuronal H3K4me3 epigenomes in the prefrontal cortex. Proc. Natl. Acad. Sci. U.S.A. 2010",20421462
GSM529971,Homo sapiens,H3K4me3,central_nervous_system_neuron,Prefrontal,"Cheung I, et al. Developmental regulation and individual differences of neuronal H3K4me3 epigenomes in the prefrontal cortex. Proc. Natl. Acad. Sci. U.S.A. 2010",20421462
GSM529972,Homo sapiens,H3K4me3,central_nervous_system_neuron,Prefrontal,"Cheung I, et al. Developmental regulation and individual differences of neuronal H3K4me3 epigenomes in the prefrontal cortex. Proc. Natl. Acad. Sci. U.S.A. 2010",20421462
GSM534465,Homo sapiens,H3K4me3,stromal_cell,Adipose,"Mikkelsen TS, et al. Comparative epigenomic analysis of murine and human adipogenesis. Cell 2010",20887899
GSM534472,Homo sapiens,H3K4me3,stromal_cell,Adipose,"Mikkelsen TS, et al. Comparative epigenomic analysis of murine and human adipogenesis. Cell 2010",20887899
GSM534479,Homo sapiens,H3K4me3,stromal_cell,Adipose,"Mikkelsen TS, et al. Comparative epigenomic analysis of murine and human adipogenesis. Cell 2010",20887899
GSM534486,Homo sapiens,H3K4me3,stromal_cell,Adipose,"Mikkelsen TS, et al. Comparative epigenomic analysis of murine and human adipogenesis. Cell 2010",20887899
GSM537629,Homo sapiens,H3K4me3,hematopoietic_stem_cell,Cord blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM537687,Homo sapiens,H3K4me3,pluripotent_stem_cell,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM537694,Homo sapiens,H3K4me3,pluripotent_stem_cell,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
GSM537702,Homo sapiens,H3K4me3,granulocytes,Cord blood,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595
